@relation bank-additional-full-weka.filters.unsupervised.attribute.RemoveType-Tnumeric

@attribute job {housemaid,services,admin.,blue-collar,technician,retired,management,unemployed,self-employed,unknown,entrepreneur,student}
@attribute marital {married,single,divorced,unknown}
@attribute education {basic.4y,high.school,basic.6y,basic.9y,professional.course,unknown,university.degree,illiterate}
@attribute default {no,unknown,yes}
@attribute housing {no,yes,unknown}
@attribute loan {no,yes,unknown}
@attribute contact {telephone,cellular}
@attribute month {may,jun,jul,aug,oct,nov,dec,mar,apr,sep}
@attribute day_of_week {mon,tue,wed,thu,fri}
@attribute poutcome {nonexistent,failure,success}
@attribute y {yes,no}

@data
housemaid,divorced,high.school,no,yes,no,cellular,jul,mon,nonexistent,no
services,single,high.school,no,no,no,cellular,jul,mon,nonexistent,no
admin.,single,university.degree,unknown,yes,no,cellular,jul,mon,nonexistent,yes
services,married,high.school,no,yes,no,telephone,jul,mon,nonexistent,no
services,married,high.school,no,no,no,telephone,jul,mon,nonexistent,no
technician,married,professional.course,unknown,no,no,telephone,jul,mon,nonexistent,no
blue-collar,single,basic.4y,no,no,no,cellular,jul,mon,nonexistent,no
management,married,university.degree,unknown,no,no,cellular,jul,mon,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,mon,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,mon,nonexistent,no
admin.,single,high.school,unknown,no,no,cellular,jul,mon,nonexistent,no
management,married,unknown,unknown,no,no,cellular,jul,mon,nonexistent,no
entrepreneur,married,basic.4y,unknown,no,no,cellular,jul,mon,nonexistent,no
blue-collar,single,unknown,no,yes,no,telephone,jul,mon,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,jul,mon,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,jul,mon,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,jul,mon,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,jul,mon,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,jul,mon,nonexistent,no
technician,married,professional.course,no,yes,no,telephone,jul,mon,nonexistent,no
admin.,married,high.school,no,no,yes,cellular,jul,mon,nonexistent,no
entrepreneur,single,basic.9y,no,no,no,cellular,jul,mon,nonexistent,no
admin.,married,university.degree,no,no,yes,cellular,jul,mon,nonexistent,no
technician,married,professional.course,no,no,no,cellular,jul,mon,nonexistent,no
housemaid,married,high.school,no,yes,yes,cellular,jul,mon,nonexistent,no
blue-collar,married,basic.4y,no,no,no,cellular,jul,mon,nonexistent,no
technician,married,unknown,unknown,yes,no,cellular,jul,mon,nonexistent,no
admin.,divorced,university.degree,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,divorced,university.degree,unknown,no,no,cellular,jul,tue,nonexistent,no
housemaid,married,basic.4y,unknown,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,basic.4y,unknown,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
services,divorced,high.school,unknown,yes,yes,cellular,jul,tue,nonexistent,no
entrepreneur,married,unknown,unknown,yes,yes,cellular,jul,tue,nonexistent,no
services,married,basic.9y,no,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
admin.,divorced,university.degree,unknown,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,unknown,yes,no,telephone,jul,tue,nonexistent,no
unemployed,divorced,professional.course,no,no,no,telephone,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,divorced,high.school,no,yes,no,telephone,jul,tue,nonexistent,no
services,divorced,high.school,no,no,no,cellular,jul,tue,nonexistent,no
services,divorced,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
technician,married,professional.course,unknown,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,basic.9y,unknown,yes,no,cellular,jul,tue,nonexistent,no
services,divorced,high.school,no,yes,yes,cellular,jul,tue,nonexistent,no
services,single,high.school,unknown,no,no,cellular,jul,tue,nonexistent,yes
unemployed,married,university.degree,unknown,yes,no,cellular,jul,tue,nonexistent,no
services,married,basic.4y,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,divorced,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,tue,nonexistent,no
admin.,divorced,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,unknown,yes,no,cellular,jul,tue,nonexistent,no
technician,married,high.school,unknown,yes,no,cellular,jul,tue,nonexistent,yes
services,married,basic.4y,unknown,no,no,cellular,jul,tue,nonexistent,yes
admin.,married,high.school,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,unknown,no,no,cellular,jul,tue,nonexistent,no
services,divorced,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
entrepreneur,married,university.degree,no,no,no,telephone,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
technician,single,unknown,no,no,no,cellular,jul,tue,nonexistent,no
services,married,basic.6y,unknown,no,no,cellular,jul,tue,nonexistent,no
technician,single,unknown,no,no,no,cellular,jul,tue,nonexistent,no
admin.,married,professional.course,no,no,yes,cellular,jul,tue,nonexistent,no
blue-collar,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.4y,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,no,yes,yes,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,yes,yes,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,no,yes,cellular,jul,tue,nonexistent,no
management,divorced,university.degree,no,yes,no,cellular,jul,tue,nonexistent,yes
admin.,married,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,unknown,no,no,cellular,jul,tue,nonexistent,no
self-employed,single,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,yes,yes,telephone,jul,tue,nonexistent,no
services,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
management,married,basic.6y,unknown,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
technician,married,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
technician,married,high.school,unknown,yes,no,cellular,jul,tue,nonexistent,no
management,single,unknown,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,yes,yes,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,yes
management,married,basic.9y,no,no,no,cellular,jul,tue,nonexistent,no
retired,divorced,high.school,unknown,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,unknown,no,no,cellular,jul,tue,nonexistent,yes
blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,yes
entrepreneur,married,basic.9y,unknown,no,yes,cellular,jul,tue,nonexistent,no
services,single,high.school,unknown,no,no,cellular,jul,tue,nonexistent,no
technician,single,unknown,no,yes,no,cellular,jul,tue,nonexistent,no
technician,married,high.school,unknown,no,no,cellular,jul,tue,nonexistent,no
management,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,professional.course,unknown,yes,no,cellular,jul,tue,nonexistent,no
technician,married,high.school,no,no,no,telephone,jul,tue,nonexistent,no
services,married,high.school,no,yes,yes,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
services,divorced,high.school,no,unknown,unknown,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,nonexistent,no
management,married,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
management,married,high.school,no,no,no,cellular,jul,tue,nonexistent,yes
technician,married,professional.course,unknown,no,yes,cellular,jul,tue,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,yes
technician,married,professional.course,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
admin.,divorced,university.degree,unknown,yes,no,cellular,jul,tue,nonexistent,no
management,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,tue,nonexistent,no
management,single,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
management,single,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,unknown,no,no,no,cellular,jul,tue,nonexistent,no
housemaid,married,basic.4y,unknown,unknown,unknown,cellular,jul,tue,nonexistent,no
admin.,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,tue,nonexistent,no
student,single,high.school,unknown,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,no,telephone,jul,tue,nonexistent,no
management,single,university.degree,unknown,yes,yes,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,yes
blue-collar,married,basic.6y,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
entrepreneur,married,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
entrepreneur,married,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
technician,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,unknown,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,unknown,no,no,telephone,jul,tue,nonexistent,no
technician,divorced,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
services,married,basic.9y,no,no,no,telephone,jul,tue,nonexistent,no
admin.,married,basic.4y,unknown,yes,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,yes
admin.,married,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
services,married,basic.9y,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
technician,divorced,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.4y,no,no,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,yes
unemployed,single,basic.4y,unknown,no,yes,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,yes,yes,cellular,jul,tue,nonexistent,no
admin.,single,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
services,married,basic.6y,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,university.degree,no,yes,yes,cellular,jul,tue,nonexistent,no
technician,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,university.degree,no,no,yes,cellular,jul,tue,nonexistent,yes
technician,single,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,nonexistent,yes
services,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
self-employed,married,unknown,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,single,university.degree,unknown,yes,yes,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,unknown,no,no,cellular,jul,tue,nonexistent,no
technician,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
management,single,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,jul,tue,nonexistent,yes
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
technician,divorced,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
technician,divorced,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.6y,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,yes,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,telephone,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,professional.course,unknown,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,unknown,unknown,cellular,jul,tue,nonexistent,no
self-employed,divorced,professional.course,unknown,no,no,cellular,jul,tue,nonexistent,no
technician,single,university.degree,no,no,yes,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.4y,no,yes,yes,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
admin.,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,yes
retired,divorced,basic.4y,unknown,yes,no,cellular,jul,tue,nonexistent,no
retired,divorced,basic.4y,unknown,yes,no,cellular,jul,tue,nonexistent,no
management,married,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
technician,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
retired,divorced,basic.4y,unknown,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.4y,no,no,yes,cellular,jul,tue,nonexistent,no
technician,married,university.degree,unknown,yes,no,cellular,jul,tue,nonexistent,no
technician,married,university.degree,unknown,no,no,cellular,jul,tue,nonexistent,no
student,single,high.school,unknown,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,unknown,yes,no,cellular,jul,tue,nonexistent,no
services,divorced,high.school,unknown,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.4y,unknown,yes,yes,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,no,no,yes,cellular,jul,tue,nonexistent,no
services,married,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
services,single,high.school,no,yes,no,telephone,jul,tue,nonexistent,no
retired,married,basic.6y,unknown,no,no,cellular,jul,tue,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
entrepreneur,married,high.school,no,no,no,cellular,jul,tue,nonexistent,yes
entrepreneur,married,basic.4y,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
management,married,university.degree,unknown,unknown,unknown,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,yes,yes,cellular,jul,tue,nonexistent,no
services,divorced,basic.6y,no,yes,yes,cellular,jul,tue,nonexistent,no
entrepreneur,married,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
entrepreneur,single,basic.9y,unknown,yes,no,cellular,jul,tue,nonexistent,no
management,single,university.degree,unknown,no,no,cellular,jul,tue,nonexistent,no
entrepreneur,married,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,nonexistent,no
technician,divorced,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
management,single,university.degree,no,yes,yes,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,divorced,basic.9y,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,unknown,no,yes,yes,cellular,jul,tue,nonexistent,no
blue-collar,married,unknown,no,yes,no,telephone,jul,tue,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,no,no,yes,cellular,jul,tue,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,no,yes,cellular,jul,tue,nonexistent,no
blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
retired,divorced,high.school,unknown,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,unknown,no,no,no,cellular,jul,tue,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,unknown,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,unknown,no,no,yes,cellular,jul,tue,nonexistent,no
retired,married,basic.6y,no,no,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,yes,cellular,jul,tue,nonexistent,no
retired,married,basic.6y,unknown,yes,yes,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,yes,cellular,jul,tue,nonexistent,no
blue-collar,divorced,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,unknown,unknown,cellular,jul,tue,nonexistent,no
admin.,married,professional.course,no,yes,yes,cellular,jul,tue,nonexistent,yes
blue-collar,married,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
management,married,university.degree,unknown,no,yes,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.4y,unknown,unknown,unknown,cellular,jul,tue,nonexistent,no
blue-collar,divorced,high.school,no,yes,yes,cellular,jul,tue,nonexistent,no
retired,married,professional.course,unknown,no,yes,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,yes,yes,cellular,jul,tue,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,jul,tue,nonexistent,yes
blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,nonexistent,yes
technician,married,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,yes,yes,telephone,jul,tue,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,professional.course,no,no,yes,cellular,jul,tue,nonexistent,no
management,married,university.degree,no,yes,no,telephone,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,nonexistent,no
services,married,basic.6y,unknown,yes,no,cellular,jul,tue,nonexistent,no
services,divorced,high.school,unknown,yes,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,yes,cellular,jul,tue,nonexistent,no
admin.,divorced,university.degree,unknown,no,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,no,no,telephone,jul,tue,nonexistent,no
entrepreneur,married,basic.9y,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.4y,no,yes,yes,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,no,no,no,telephone,jul,tue,nonexistent,no
housemaid,married,basic.4y,unknown,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
management,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,telephone,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
self-employed,married,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,married,basic.4y,unknown,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,divorced,high.school,no,yes,no,cellular,jul,tue,nonexistent,yes
technician,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
technician,married,professional.course,unknown,yes,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.4y,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,professional.course,no,yes,no,cellular,jul,tue,nonexistent,yes
entrepreneur,married,basic.9y,no,unknown,unknown,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,yes,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,single,professional.course,unknown,unknown,unknown,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.9y,no,no,no,telephone,jul,tue,nonexistent,no
admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,yes
admin.,single,professional.course,no,yes,yes,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,tue,nonexistent,no
services,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
admin.,single,basic.9y,no,yes,yes,cellular,jul,tue,nonexistent,yes
admin.,married,university.degree,no,yes,yes,telephone,jul,tue,nonexistent,no
technician,divorced,professional.course,no,yes,no,telephone,jul,tue,nonexistent,no
services,married,high.school,no,unknown,unknown,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.4y,no,yes,no,telephone,jul,tue,nonexistent,no
admin.,married,high.school,no,no,yes,telephone,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,jul,tue,nonexistent,no
entrepreneur,married,university.degree,unknown,yes,yes,telephone,jul,tue,nonexistent,no
blue-collar,divorced,basic.9y,unknown,no,no,cellular,jul,tue,nonexistent,no
services,divorced,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
technician,single,high.school,no,no,no,telephone,jul,tue,nonexistent,no
admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
technician,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
management,single,unknown,no,no,no,cellular,jul,tue,nonexistent,no
technician,married,professional.course,no,yes,no,telephone,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,nonexistent,no
retired,married,basic.6y,unknown,yes,no,telephone,jul,tue,nonexistent,no
blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,tue,nonexistent,no
management,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
entrepreneur,single,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,tue,nonexistent,no
services,divorced,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,yes,telephone,jul,tue,nonexistent,no
technician,single,university.degree,no,no,no,cellular,jul,tue,nonexistent,no
services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
self-employed,single,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.6y,no,yes,yes,cellular,jul,tue,nonexistent,no
services,married,high.school,no,no,no,telephone,jul,tue,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
technician,married,unknown,no,yes,no,telephone,jul,tue,nonexistent,no
student,single,high.school,unknown,no,no,cellular,jul,tue,nonexistent,no
admin.,single,high.school,no,no,yes,telephone,jul,tue,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,jul,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,tue,nonexistent,no
technician,single,professional.course,no,no,no,cellular,jul,tue,nonexistent,no
entrepreneur,married,unknown,unknown,yes,no,cellular,jul,tue,nonexistent,no
student,single,high.school,unknown,no,no,cellular,jul,tue,nonexistent,no
blue-collar,single,basic.4y,no,no,no,telephone,jul,tue,nonexistent,no
services,single,high.school,no,no,no,cellular,jul,tue,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,no
