@relation cmc-weka.filters.unsupervised.attribute.Remove-R1

@attribute Wifes_education {1,2,3,4}
@attribute Husbands_education {1,2,3,4}
@attribute Wifes_religion {0,1}
@attribute Wifes_now_working? {0,1}
@attribute Husbands_occupation {1,2,3,4}
@attribute Standard-of-living_index {1,2,3,4}
@attribute Media_exposure {0,1}
@attribute Contraceptive_method_used {1,2,3}
@attribute class_numberofchildren {1,0} % 1 for no less than 10 children

@data
3,4,1,1,3,3,0,3,0
2,3,1,1,2,1,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,3,3,0,3,0
3,4,1,1,2,3,0,3,0
4,4,1,1,1,3,0,3,0
4,4,1,1,3,3,0,3,0
3,3,1,1,1,3,0,3,0
2,2,1,0,2,4,0,3,0
3,4,1,1,2,3,0,3,0
3,3,1,1,3,3,0,3,0
3,4,1,1,3,3,0,3,0
4,4,1,1,2,3,0,3,0
4,4,1,1,2,4,0,3,0
4,4,0,1,1,4,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,3,4,0,3,0
4,4,1,1,1,3,0,3,0
4,4,0,1,1,3,0,3,0
3,4,1,1,3,3,0,3,0
4,4,1,0,3,4,0,3,0
3,4,1,0,1,4,0,3,0
4,3,1,1,3,4,0,3,0
4,4,1,0,1,4,0,3,0
4,4,0,0,1,3,0,3,0
4,4,1,0,1,4,0,3,0
4,4,1,1,1,3,0,3,0
4,4,1,1,2,4,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,2,4,0,3,0
4,4,1,1,1,4,0,3,0
3,3,1,1,2,2,0,3,0
1,3,1,1,3,1,0,3,0
2,2,1,1,2,3,0,3,0
3,4,1,1,2,3,0,3,0
2,2,1,1,3,2,1,3,0
4,4,1,1,1,4,0,3,0
3,4,1,1,3,1,0,3,0
3,3,1,0,3,2,0,3,0
3,4,1,0,1,4,0,3,0
3,3,1,0,2,1,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,2,4,0,3,0
4,4,0,0,1,3,0,3,0
3,3,1,1,2,1,0,3,0
4,4,1,1,2,4,0,3,0
2,2,1,1,2,1,0,3,0
2,2,1,1,4,3,0,3,0
2,3,1,0,3,1,0,3,0
2,3,1,1,3,1,0,3,0
2,2,1,1,3,4,0,3,0
2,4,1,1,3,4,0,3,0
4,4,1,0,1,4,0,3,0
2,3,1,1,3,3,0,3,0
2,4,1,0,2,4,0,3,0
3,3,1,1,2,2,0,3,0
3,3,1,1,2,1,0,3,0
1,2,1,1,2,2,1,3,0
3,3,1,1,3,2,0,3,0
3,4,1,1,1,3,0,3,0
3,4,1,1,2,1,0,3,0
2,4,1,1,3,3,0,3,0
3,3,1,1,3,2,0,3,0
4,4,1,1,3,3,0,3,0
2,4,1,1,3,2,0,3,0
1,3,1,1,3,4,0,3,0
1,1,1,1,4,2,1,3,0
3,4,1,1,3,3,0,3,0
3,4,1,1,2,3,0,3,0
3,3,1,1,3,1,0,3,0
3,4,1,1,1,2,0,3,0
1,3,1,1,3,3,0,3,0
3,4,1,1,1,3,0,3,0
3,3,1,1,3,3,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,0,2,4,0,3,0
4,4,1,1,2,4,0,3,0
2,3,1,1,2,4,0,3,0
3,4,1,1,3,3,0,3,0
3,3,1,1,3,3,0,3,0
1,4,1,1,2,1,0,3,0
2,4,1,1,2,3,0,3,0
4,4,1,1,3,4,1,3,0
2,3,1,1,2,3,0,3,0
4,4,1,0,3,4,0,3,0
3,3,1,1,2,1,0,3,0
4,3,1,1,2,4,0,3,0
1,4,1,1,3,4,1,3,0
4,4,1,0,2,4,0,3,0
3,4,1,1,3,4,0,3,0
3,4,1,1,3,4,0,3,0
2,3,1,0,2,2,0,3,0
1,2,1,1,3,1,1,3,0
3,3,1,1,2,1,0,3,0
2,3,1,1,2,4,0,3,0
2,3,1,1,2,4,0,3,0
2,2,1,1,3,4,0,3,0
4,4,1,1,1,4,0,3,0
3,3,1,1,3,4,0,3,0
3,4,1,0,1,4,0,3,0
3,3,1,1,3,3,0,3,0
3,4,1,1,3,3,0,3,0
2,3,1,1,3,4,0,3,0
4,4,0,1,3,4,0,3,0
2,4,1,1,3,2,0,3,0
3,4,1,1,3,3,0,3,0
3,4,1,1,3,2,0,3,0
3,4,1,1,3,2,0,3,0
3,2,1,0,3,2,0,3,0
4,3,1,1,3,4,0,3,0
1,4,1,1,3,2,0,3,0
2,3,1,1,3,1,0,3,0
1,2,1,0,3,2,0,3,0
1,2,1,1,3,2,1,3,0
4,4,1,1,3,3,0,3,0
3,4,1,1,2,4,0,3,0
4,4,1,1,3,2,0,3,0
2,4,1,1,3,4,0,3,0
3,3,1,1,3,3,0,3,0
2,3,1,1,3,3,0,3,0
4,3,1,1,3,3,0,3,0
4,4,1,0,1,4,0,3,0
3,4,1,0,1,3,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,3,4,0,3,0
3,4,1,1,1,4,0,3,0
3,4,1,1,3,2,0,3,0
1,3,1,1,3,3,1,3,0
3,4,1,1,3,3,0,3,0
3,3,1,1,3,3,0,3,0
3,4,0,0,1,4,0,3,0
3,2,1,1,3,3,0,3,0
3,3,0,1,2,3,0,3,0
4,4,0,0,2,4,0,3,0
3,4,1,0,3,4,0,3,0
4,4,1,1,2,3,0,3,0
3,4,1,1,3,2,0,3,0
4,4,0,0,3,3,0,3,0
2,4,1,1,3,3,0,3,0
3,3,0,1,3,4,0,3,0
4,3,0,1,3,4,0,3,0
2,2,0,1,3,2,0,3,0
4,4,0,1,3,4,0,3,0
4,3,1,1,1,3,0,3,0
4,4,1,0,1,4,0,3,0
4,4,1,1,1,4,0,3,0
3,3,1,1,2,2,0,3,0
3,4,1,1,1,2,0,3,0
3,4,1,1,1,3,0,3,0
4,4,0,1,3,1,0,3,0
1,2,1,1,2,3,0,3,0
1,3,1,1,3,2,0,3,0
4,4,1,1,2,3,0,3,0
3,3,1,1,2,3,0,3,0
4,4,1,0,3,3,0,3,0
3,3,1,1,3,1,1,3,0
1,3,1,1,3,3,0,3,0
2,4,1,1,3,4,0,3,0
2,3,1,1,3,3,0,3,0
4,4,1,1,1,4,0,3,0
4,4,0,0,2,4,0,3,0
4,4,1,1,1,3,0,3,0
4,4,1,0,1,4,0,3,0
3,4,0,1,3,4,0,3,0
4,4,1,1,4,3,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,3,2,0,3,0
3,4,0,1,3,3,0,3,0
1,2,1,1,2,2,1,3,0
2,2,1,1,3,2,0,3,0
1,2,0,1,2,3,0,3,0
3,4,0,1,3,4,0,3,0
2,3,0,0,3,4,0,3,0
1,2,1,1,3,3,0,3,0
4,4,0,1,3,4,0,3,0
3,4,0,1,3,4,0,3,0
3,4,0,1,2,4,0,3,0
4,4,0,1,3,4,0,3,0
2,3,1,1,3,2,0,3,0
4,4,0,1,2,4,0,3,0
4,4,0,1,1,4,0,3,0
4,3,0,1,2,4,0,3,0
3,3,0,0,3,4,0,3,0
4,4,0,0,3,4,0,3,0
3,3,1,0,2,4,0,3,0
4,4,1,1,2,2,0,3,0
2,4,1,1,3,4,0,3,0
1,3,1,1,3,2,0,3,0
2,2,1,0,3,2,0,3,0
3,3,1,1,3,2,0,3,0
2,2,1,1,3,1,0,3,0
2,3,1,0,3,2,0,3,0
2,2,1,1,3,3,0,3,0
1,2,1,0,4,4,0,3,0
3,4,1,1,3,2,0,3,0
2,3,1,1,4,2,0,3,0
3,4,1,0,3,3,0,3,0
3,4,1,1,3,4,0,3,0
3,4,1,1,2,4,0,3,0
1,2,1,0,2,4,0,3,0
3,3,1,1,2,3,0,3,0
3,2,1,0,3,4,0,3,0
2,2,1,1,3,2,0,3,0
2,3,1,1,3,3,0,3,0
3,3,0,1,2,4,0,3,0
2,4,1,1,1,4,0,3,0
2,4,0,1,3,4,0,3,0
4,4,1,0,1,4,0,3,0
3,4,1,1,2,3,0,3,0
3,4,0,1,2,4,0,3,0
4,4,1,0,1,4,0,3,0
2,2,1,0,3,3,0,3,0
3,3,1,0,2,2,0,3,0
4,4,1,0,1,4,0,3,0
3,4,1,1,1,4,0,3,0
4,4,1,1,3,4,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,2,4,0,3,0
4,4,1,1,1,4,0,3,0
1,2,1,1,3,4,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,3,4,0,3,0
2,3,1,0,3,2,0,3,0
4,4,0,0,3,3,1,3,0
3,4,1,1,2,4,0,3,0
4,4,1,1,1,4,0,3,0
3,4,1,1,3,2,0,3,0
4,4,0,1,3,4,0,3,0
4,4,0,1,2,4,0,3,0
4,4,1,1,2,4,0,3,0
4,4,1,0,1,4,0,3,0
4,4,0,0,1,4,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,4,4,0,3,0
2,3,1,1,2,3,0,3,0
3,2,1,1,2,2,0,3,0
2,3,1,1,2,3,0,3,0
3,4,1,1,1,4,0,3,0
3,4,0,0,3,4,0,3,0
3,4,1,1,3,4,0,3,0
4,4,1,1,1,4,0,3,0
2,1,1,0,3,1,1,3,0
2,3,1,0,3,2,0,3,0
2,3,1,1,2,4,0,3,0
2,4,1,1,1,4,1,3,1
1,2,1,0,3,4,1,3,0
2,2,1,0,3,1,1,1,0
3,2,1,1,2,3,0,1,1
2,4,1,0,1,1,0,1,0
4,4,1,0,3,4,0,1,0
2,2,1,1,3,3,0,1,0
1,1,1,0,3,3,1,1,0
4,4,1,0,1,4,0,1,0
3,4,1,1,3,3,0,1,0
4,4,1,1,3,4,0,1,0
2,3,1,1,1,4,0,1,0
2,4,1,1,3,4,0,1,0
2,2,1,1,3,2,0,1,0
3,4,1,1,1,4,0,1,0
1,2,1,1,2,3,0,1,1
4,4,1,1,3,2,0,1,0
4,4,1,1,3,2,0,1,0
3,4,1,1,3,3,0,1,0
4,4,1,1,1,3,0,1,0
2,3,1,1,3,3,0,1,0
2,4,1,1,1,3,0,1,0
1,2,1,1,1,4,1,1,0
2,4,1,1,2,3,0,1,0
3,4,1,0,1,3,0,1,0
4,4,1,0,3,3,0,1,0
4,4,0,0,2,4,0,1,0
4,4,0,1,1,4,0,1,0
2,2,1,0,3,2,1,1,0
2,2,0,1,2,2,0,1,0
2,2,1,1,1,3,0,1,0
3,4,1,1,3,3,0,1,1
3,4,1,0,2,2,0,1,0
3,4,1,1,3,4,0,1,0
2,3,1,1,2,3,0,1,0
2,2,1,1,3,1,0,1,0
4,4,1,1,2,4,0,1,0
4,4,0,1,1,4,0,1,0
4,4,1,1,1,4,0,1,0
4,4,1,1,1,4,0,1,0
3,3,1,0,2,4,0,1,0
3,4,1,0,2,3,0,1,0
2,3,0,1,2,3,0,1,0
3,3,1,0,3,2,0,1,0
2,4,1,0,3,4,0,1,0
1,1,0,0,2,1,0,1,0
4,4,1,0,2,3,0,1,0
1,4,1,1,1,2,0,1,0
2,3,1,1,3,1,0,1,0
3,4,0,1,2,2,0,1,0
1,2,1,0,3,3,0,1,0
4,4,1,1,1,3,0,1,0
3,4,1,1,1,3,0,1,0
1,4,1,1,2,2,0,1,0
4,4,1,0,2,4,0,1,0
2,3,1,1,3,3,1,1,0
4,4,1,1,1,4,0,1,0
1,2,1,1,2,2,1,1,0
1,4,1,1,1,4,1,1,0
3,4,1,1,1,3,0,1,0
1,1,1,1,2,3,0,1,0
4,4,1,1,3,4,0,1,0
4,4,1,0,1,4,0,1,0
1,3,1,1,3,4,0,1,0
3,3,1,1,2,4,0,1,0
2,3,1,1,2,3,0,1,1
3,4,1,1,1,3,0,1,0
1,4,1,1,3,3,0,1,0
1,2,1,1,3,1,1,1,0
1,4,1,1,2,3,0,1,0
4,4,1,1,2,4,0,1,0
2,3,1,1,3,1,0,1,0
1,1,1,1,2,3,1,1,0
1,2,1,1,2,3,1,1,0
3,4,1,0,3,3,0,1,0
3,4,1,1,2,3,0,1,0
1,2,1,1,3,3,1,1,0
3,4,1,1,1,3,0,1,0
4,4,0,1,2,4,0,1,0
1,1,1,1,3,1,1,1,0
3,4,1,1,3,4,0,1,0
2,1,1,1,2,3,0,1,0
3,4,1,1,1,1,0,1,0
4,4,0,0,1,4,0,1,0
4,4,1,0,1,4,0,1,0
4,4,1,1,1,4,0,1,0
2,4,1,1,3,1,0,1,0
4,2,1,0,3,3,0,1,0
4,4,1,0,1,4,0,1,0
2,4,1,1,2,3,0,1,0
3,1,1,1,3,2,0,1,0
1,4,1,0,4,1,0,1,0
2,4,1,1,2,2,0,1,0
3,4,1,1,3,3,0,1,0
3,3,1,1,3,3,0,1,0
3,3,1,1,2,2,0,1,0
1,2,1,1,2,1,1,1,0
3,4,1,1,3,2,0,1,0
3,4,1,1,2,4,0,1,0
3,1,1,1,2,3,0,1,0
1,3,1,1,4,2,0,1,0
3,4,1,1,3,1,1,1,0
4,4,1,0,1,3,0,1,0
4,4,1,1,1,4,0,1,0
3,4,1,1,3,2,0,1,0
3,3,1,0,3,4,0,1,0
4,4,1,1,2,1,1,1,0
2,3,1,1,2,3,0,1,0
3,4,1,1,1,3,0,1,0
2,2,1,1,2,2,0,1,0
2,3,1,1,2,1,0,1,0
4,4,1,1,1,4,0,1,0
2,2,1,0,2,3,0,1,0
4,4,1,0,1,3,0,1,0
3,4,1,1,3,3,0,1,0
2,3,1,1,3,2,0,1,0
3,4,1,0,3,3,0,1,0
4,4,1,1,3,4,0,1,0
4,4,1,1,1,3,0,1,0
4,4,1,1,3,4,0,1,0
4,4,1,1,1,4,0,1,0
1,3,1,0,2,2,0,1,0
2,3,1,1,3,4,0,1,1
2,3,1,1,3,2,1,1,0
3,4,0,1,2,3,0,1,0
2,4,1,1,3,2,1,1,0
2,2,1,1,3,4,0,1,0
3,3,1,1,2,2,0,1,0
4,4,1,1,1,2,0,1,0
1,2,1,1,3,1,0,1,0
4,4,1,0,1,4,0,1,0
4,4,1,1,1,3,0,1,0
2,4,1,0,3,4,0,1,0
1,3,1,0,1,3,0,1,0
4,4,1,1,1,3,0,1,0
3,4,1,0,3,4,0,1,0
3,4,1,1,3,3,0,1,0
2,3,1,0,4,4,0,1,0
3,4,0,1,2,2,0,1,0
3,4,1,0,2,4,0,1,0
3,4,1,1,1,4,0,1,1
2,3,1,1,3,1,0,1,1
2,4,1,1,3,4,0,1,0
4,4,0,1,1,4,0,1,0
1,3,1,1,2,4,0,1,1
4,4,1,1,1,4,0,1,0
4,4,0,0,1,3,0,1,0
4,4,1,0,1,4,0,1,0
2,3,1,0,3,4,1,1,0
4,4,1,1,1,4,0,1,0
3,3,1,0,2,4,0,1,0
4,3,1,0,3,2,0,1,0
3,3,1,0,3,3,0,1,0
3,4,1,1,3,3,0,1,0
4,4,1,1,1,3,0,1,1
2,3,1,1,3,4,0,1,0
3,2,1,0,3,3,0,1,0
4,4,0,0,2,4,0,1,0
3,4,0,0,2,4,0,1,0
3,3,0,0,2,3,1,1,0
3,2,1,1,4,4,0,1,0
3,4,0,1,3,4,0,1,0
3,4,1,1,3,3,0,1,0
4,4,1,1,1,4,0,1,0
2,2,0,0,2,4,0,1,0
3,4,0,1,2,4,0,1,0
3,4,0,1,2,4,0,1,0
4,4,0,1,1,4,0,1,0
3,3,0,0,3,2,1,1,0
3,4,1,1,3,3,0,1,0
1,3,1,0,3,4,0,1,0
1,1,1,1,3,2,0,1,0
1,2,1,1,3,1,1,1,0
2,2,1,1,3,1,1,1,0
3,4,0,1,3,1,1,1,0
2,4,1,1,3,4,0,1,0
3,2,1,1,3,1,0,1,0
2,2,1,1,3,1,1,1,0
2,2,1,1,2,4,0,1,0
1,3,1,0,2,4,0,1,0
3,3,1,1,2,4,0,1,0
3,2,1,1,2,2,0,1,0
3,4,1,0,3,4,0,1,0
2,2,1,1,2,2,1,1,0
3,4,0,1,2,3,0,1,0
4,4,0,0,3,4,0,1,0
3,4,1,1,3,4,0,1,0
3,2,1,1,3,4,0,1,0
4,4,0,0,1,4,0,1,0
2,3,1,1,3,4,0,1,0
4,4,1,1,1,3,0,1,0
3,4,1,1,3,4,0,1,0
3,4,1,1,2,2,0,1,0
4,4,0,1,2,4,0,1,0
2,1,1,1,2,2,0,1,0
4,4,1,1,1,4,0,1,0
4,4,1,1,1,4,0,1,0
4,4,1,0,3,4,0,1,0
2,2,1,1,3,4,0,1,0
3,3,1,1,2,3,0,1,0
2,3,1,1,1,1,0,1,0
3,4,1,1,1,4,0,1,0
1,3,1,1,3,1,0,1,0
4,4,1,1,1,2,0,1,0
1,1,1,1,2,2,0,1,0
1,1,1,1,1,1,1,1,0
2,2,1,1,3,2,0,1,1
1,3,1,1,2,2,1,1,0
1,2,1,1,2,4,0,1,0
4,4,1,1,1,4,0,1,0
1,1,1,1,3,2,0,1,0
4,4,1,1,1,4,0,1,0
3,3,1,1,3,4,0,1,0
1,2,1,0,2,2,1,1,0
2,4,1,1,3,2,0,1,0
4,4,0,0,2,4,0,1,0
4,4,1,1,3,4,0,2,0
4,4,1,1,1,4,0,2,0
4,4,1,1,3,3,0,2,0
4,4,1,1,1,3,0,2,0
3,4,1,1,3,4,0,2,0
4,4,1,1,1,3,0,2,0
3,4,1,1,1,4,0,2,0
4,4,1,1,1,3,0,2,0
4,4,1,0,1,4,0,2,0
2,2,1,1,3,3,0,2,0
4,4,1,1,1,4,0,2,0
2,2,1,1,3,4,0,2,0
4,4,1,0,1,4,0,2,0
2,4,1,1,1,4,0,2,0
4,4,1,1,1,4,0,2,0
3,3,1,1,3,4,0,2,0
4,4,1,1,1,2,0,2,0
4,4,1,1,1,3,0,2,0
4,4,0,1,1,4,0,2,0
4,4,1,1,2,1,0,2,0
4,4,1,1,2,4,0,2,0
3,4,1,1,2,3,0,2,0
1,4,1,1,1,3,0,2,0
4,4,1,1,1,4,0,2,0
3,4,1,1,3,3,0,2,0
4,4,1,1,1,4,0,2,0
3,3,1,0,3,3,0,2,0
3,1,1,0,3,3,0,2,0
2,3,1,1,1,2,0,2,0
4,4,1,0,2,2,0,2,0
3,4,0,1,1,4,0,2,0
3,4,0,1,2,3,0,2,0
4,4,1,1,1,4,0,2,0
1,3,1,1,1,4,0,2,0
3,3,1,1,1,1,0,2,0
4,4,1,1,2,4,0,2,0
4,4,1,0,3,3,0,2,0
3,4,1,1,3,3,0,2,0
3,4,1,1,1,4,0,2,0
4,4,1,0,2,3,0,2,0
4,4,1,1,1,4,0,2,0
3,4,1,1,1,4,0,2,0
4,4,0,1,2,4,0,2,0
4,4,1,0,2,3,0,2,0
3,4,1,1,1,3,0,2,0
4,4,1,0,1,4,0,2,0
4,4,0,0,1,3,0,2,0
4,4,0,1,1,4,0,2,0
4,4,1,1,2,3,0,2,0
4,4,1,1,1,4,0,2,0
4,4,1,1,1,4,0,2,0
2,4,0,1,3,2,0,2,0
4,4,1,1,3,4,0,2,0
4,4,1,1,2,4,0,2,0
4,4,1,1,3,3,0,2,0
2,2,1,1,2,2,0,2,0
4,4,0,0,2,4,0,2,0
1,2,1,0,3,1,0,2,0
4,4,1,1,3,2,0,2,0
3,3,1,1,1,3,0,2,0
3,3,1,1,3,3,0,2,0
2,3,1,1,3,1,1,2,0
4,4,1,1,3,3,0,2,0
3,4,1,1,1,4,0,2,0
4,4,1,0,3,4,0,2,0
4,4,0,1,2,4,0,2,0
3,4,1,1,1,3,0,2,0
4,4,1,1,1,3,0,2,0
3,3,1,0,3,2,0,2,0
3,4,1,1,3,2,0,2,0
4,4,1,1,2,4,0,2,0
4,4,1,0,1,4,0,2,0
3,4,1,1,1,4,0,2,0
4,4,0,1,2,3,0,2,0
3,4,0,1,2,3,0,2,0
2,1,1,0,2,2,0,2,0
2,2,1,1,3,4,0,2,0
4,4,1,1,1,4,0,2,0
3,4,0,1,2,4,0,2,0
3,4,0,1,3,3,0,2,0
4,4,1,0,3,4,0,2,0
2,2,1,1,4,3,1,2,0
4,4,0,1,2,4,0,2,0
4,4,1,1,1,4,0,2,0
3,4,1,1,3,4,0,2,0
4,4,1,1,1,3,0,2,0
4,4,0,1,1,4,0,2,0
3,1,1,0,3,4,0,2,0
4,4,1,1,2,4,0,2,0
4,4,1,0,1,4,0,2,0
4,4,1,0,3,3,0,2,0
3,3,1,1,1,3,0,2,0
4,4,1,0,3,4,0,2,0
4,4,0,0,2,4,0,2,0
3,3,0,1,1,3,0,2,0
4,4,0,1,2,4,0,2,0
4,4,0,0,2,4,0,2,0
3,3,0,1,3,4,0,2,0
2,4,0,1,2,3,0,2,0
4,4,1,1,1,4,0,2,0
4,4,0,1,1,4,0,2,0
4,4,0,0,3,2,0,2,0
2,3,0,1,2,4,0,2,0
4,4,0,1,1,4,0,2,0
4,4,1,1,1,4,0,2,0
1,2,1,1,3,4,0,2,0
3,2,1,1,3,3,0,3,0
3,3,1,1,1,4,0,3,0
4,4,1,0,3,3,0,3,0
3,3,0,1,3,2,0,3,0
4,3,1,1,3,3,0,3,0
4,4,1,0,1,4,0,3,0
2,2,1,0,2,2,1,3,0
2,3,1,1,3,3,0,3,0
3,4,1,1,3,3,0,3,0
2,4,1,1,3,4,0,3,0
4,4,0,1,1,4,0,3,0
2,2,1,1,3,3,0,3,0
1,2,1,1,3,2,0,3,0
2,4,1,1,1,3,0,3,0
3,4,1,0,1,4,0,3,0
3,4,1,0,3,4,0,3,0
2,3,1,1,3,3,0,3,0
3,4,1,0,3,4,0,3,0
4,4,1,0,1,4,0,3,0
4,4,1,1,3,3,0,3,0
2,4,1,1,3,3,0,3,0
4,4,1,1,1,3,0,3,0
2,3,1,1,3,3,0,3,0
3,3,1,1,3,3,0,3,0
3,3,1,1,1,2,0,3,1
4,4,0,1,2,3,0,3,0
2,3,1,1,2,3,0,3,0
4,4,1,1,3,3,0,3,0
4,4,1,1,2,3,0,3,0
1,2,1,1,3,2,0,3,0
2,3,1,1,3,1,0,3,0
3,2,1,1,3,1,1,3,0
2,4,1,1,2,4,0,3,0
4,4,1,0,2,4,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,1,4,0,3,0
3,4,0,1,3,3,0,3,0
2,3,1,1,3,3,0,3,0
4,4,1,1,3,3,0,3,0
2,4,1,1,3,2,0,3,0
3,4,1,1,3,1,0,3,0
3,3,1,1,3,2,0,3,0
1,2,1,1,3,3,0,3,0
4,4,1,1,2,4,0,3,0
3,3,1,0,3,2,0,3,0
4,4,1,1,2,3,0,3,0
4,4,1,1,1,2,0,3,0
4,4,1,0,1,4,0,3,0
2,3,1,1,2,4,0,3,0
3,3,1,1,3,2,0,3,0
2,2,1,0,2,3,0,3,0
3,4,1,1,2,4,0,3,0
4,4,1,1,3,3,0,3,0
4,4,1,0,1,4,0,3,0
3,3,1,0,2,3,0,3,0
3,3,1,0,2,2,0,3,0
3,4,1,1,3,3,0,3,0
3,3,1,1,2,1,0,3,0
4,4,1,0,3,2,0,3,0
4,4,0,1,1,4,0,3,0
1,2,1,1,3,3,0,3,0
1,2,1,1,3,1,1,3,0
2,2,1,0,2,2,1,3,0
3,4,1,0,2,4,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,1,2,4,0,3,0
4,4,1,1,3,3,0,3,0
3,4,1,0,2,4,0,3,0
4,4,0,1,1,4,0,3,0
4,4,1,0,1,4,0,3,0
1,2,1,1,3,3,0,3,0
4,4,0,0,2,4,0,3,0
2,2,1,1,3,2,0,3,0
3,3,1,1,2,2,1,3,0
3,3,1,1,2,2,0,3,0
3,2,1,1,3,3,0,3,0
2,3,1,0,3,2,0,3,0
3,3,1,1,3,1,0,3,0
2,4,1,1,3,3,0,3,0
3,3,1,1,3,1,0,3,0
3,4,1,1,3,4,0,3,0
3,4,1,1,3,3,0,3,0
3,4,1,1,3,3,0,3,0
4,4,1,1,3,2,0,3,0
2,4,1,1,1,4,0,3,0
1,3,1,0,3,3,0,3,0
1,1,1,1,3,3,0,3,0
2,3,1,1,2,4,0,3,0
4,4,1,1,2,4,0,3,0
4,4,1,1,3,4,0,3,0
4,4,1,1,3,3,0,3,0
4,4,1,1,2,3,0,3,0
3,4,1,1,3,4,0,3,0
3,3,1,1,3,3,0,3,0
4,3,1,0,2,3,0,3,0
3,4,1,1,3,4,0,3,0
4,3,1,1,3,2,0,3,0
2,2,1,1,2,4,0,3,0
4,4,1,1,3,2,0,3,0
1,4,1,0,2,4,0,3,0
4,4,1,1,3,4,0,3,0
2,3,0,1,3,2,1,3,0
2,3,1,1,3,4,0,3,0
4,4,0,1,1,4,0,3,0
2,4,1,1,3,2,0,3,0
2,3,1,1,2,3,0,3,0
3,4,1,1,3,1,0,3,0
4,4,1,0,3,4,0,3,0
4,3,1,0,3,4,0,3,0
4,3,1,1,3,3,0,3,0
2,4,1,1,3,4,0,3,0
4,4,0,0,2,4,0,3,0
4,4,0,0,2,4,0,3,0
4,4,0,1,2,4,0,3,0
4,4,1,1,1,3,0,3,0
4,4,1,1,1,4,0,3,0
2,3,1,0,3,4,0,3,0
4,4,1,1,1,4,0,3,0
2,4,1,1,3,3,0,3,0
3,4,0,1,1,4,0,3,0
4,4,0,0,2,4,0,3,0
3,3,0,0,2,4,0,3,0
4,4,0,1,2,4,0,3,0
2,2,0,1,4,4,0,3,0
4,4,1,1,3,4,0,3,0
4,4,0,1,3,4,0,3,0
2,3,0,0,2,4,0,3,0
4,4,0,0,2,4,0,3,0
2,3,1,1,3,3,0,3,0
4,4,1,1,2,3,0,3,0
4,4,1,1,3,3,0,3,0
2,4,1,0,2,3,0,3,0
3,2,1,1,3,4,0,3,0
1,3,1,1,3,4,0,3,0
3,4,1,1,1,4,0,3,0
2,2,1,1,2,3,0,3,0
2,2,0,0,2,4,0,3,0
3,3,1,1,2,4,0,3,0
2,2,1,1,2,2,1,3,0
4,4,0,0,2,4,0,3,0
4,3,1,1,2,2,0,3,0
4,4,1,1,1,2,1,3,0
4,4,0,1,2,4,0,3,0
1,3,1,1,3,4,0,3,0
2,2,1,1,2,4,0,3,0
2,4,1,1,1,3,0,3,0
2,4,1,1,2,4,0,3,0
4,4,1,1,1,4,0,3,0
4,4,1,0,2,4,0,3,0
4,4,1,1,1,4,0,3,0
3,3,1,0,1,4,0,3,0
3,3,1,0,2,2,0,3,0
3,3,1,1,2,4,0,3,0

